rate	prompts	TTFT_mean_ms	TTFT_p99_ms	ITL_mean_ms	ITL_p99_ms	E2E_mean_ms	output_tps	request_tps
2	128	76.27	576.50	2.87	4.75	452.58	325.83	2.47
4	128	47.55	77.21	2.67	5.11	397.73	645.51	4.89
8	128	50.08	75.93	2.81	5.69	418.07	1265.65	9.58
16	128	61.77	217.90	3.09	7.28	467.51	2413.10	18.26
inf	128	1181.83	1950.38	4.78	16.90	1808.62	6265.85	47.42
