timestamp,index,util_gpu,util_mem,mem_used_MB,mem_total_MB,power_W,sm_clock_MHz,mem_clock_MHz,temp_C,pstate
2026/04/23 01:07:21.178, 0, 0, 0, 139701, 143771, 119.33, 1980, 3201, 33, P0
2026/04/23 01:07:21.198, 1, 0, 0, 136096, 143771, 116.05, 1980, 3201, 31, P0
2026/04/23 01:07:21.207, 2, 0, 0, 136096, 143771, 116.05, 1980, 3201, 33, P0
2026/04/23 01:07:21.215, 3, 0, 0, 136096, 143771, 116.25, 1980, 3201, 31, P0
2026/04/23 01:07:21.223, 4, 0, 0, 136096, 143771, 117.73, 1980, 3201, 32, P0
2026/04/23 01:07:21.232, 5, 0, 0, 136096, 143771, 114.68, 1980, 3201, 31, P0
2026/04/23 01:07:21.240, 6, 0, 0, 136096, 143771, 117.68, 1980, 3201, 33, P0
2026/04/23 01:07:21.249, 7, 0, 0, 135424, 143771, 119.53, 1980, 3201, 31, P0
2026/04/23 01:07:22.258, 0, 0, 0, 139701, 143771, 119.33, 1980, 3201, 33, P0
2026/04/23 01:07:22.258, 1, 0, 0, 136096, 143771, 116.01, 1980, 3201, 31, P0
2026/04/23 01:07:22.258, 2, 0, 0, 136096, 143771, 116.08, 1980, 3201, 33, P0
2026/04/23 01:07:22.258, 3, 0, 0, 136096, 143771, 116.27, 1980, 3201, 31, P0
2026/04/23 01:07:22.258, 4, 0, 0, 136096, 143771, 117.73, 1980, 3201, 32, P0
2026/04/23 01:07:22.258, 5, 0, 0, 136096, 143771, 114.68, 1980, 3201, 31, P0
2026/04/23 01:07:22.258, 6, 0, 0, 136096, 143771, 117.48, 1980, 3201, 33, P0
2026/04/23 01:07:22.258, 7, 0, 0, 135424, 143771, 119.62, 1980, 3201, 31, P0
2026/04/23 01:07:23.258, 0, 0, 0, 139701, 143771, 119.33, 1980, 3201, 33, P0
2026/04/23 01:07:23.258, 1, 0, 0, 136096, 143771, 116.03, 1980, 3201, 31, P0
2026/04/23 01:07:23.258, 2, 0, 0, 136096, 143771, 116.06, 1980, 3201, 33, P0
2026/04/23 01:07:23.258, 3, 0, 0, 136096, 143771, 116.25, 1980, 3201, 31, P0
2026/04/23 01:07:23.258, 4, 0, 0, 136096, 143771, 117.74, 1980, 3201, 32, P0
2026/04/23 01:07:23.258, 5, 0, 0, 136096, 143771, 114.62, 1980, 3201, 31, P0
2026/04/23 01:07:23.258, 6, 0, 0, 136096, 143771, 117.63, 1980, 3201, 33, P0
2026/04/23 01:07:23.258, 7, 0, 0, 135424, 143771, 119.60, 1980, 3201, 31, P0
2026/04/23 01:07:24.258, 0, 0, 0, 139701, 143771, 119.35, 1980, 3201, 33, P0
2026/04/23 01:07:24.259, 1, 0, 0, 136096, 143771, 116.02, 1980, 3201, 30, P0
2026/04/23 01:07:24.259, 2, 0, 0, 136096, 143771, 116.07, 1980, 3201, 33, P0
2026/04/23 01:07:24.259, 3, 0, 0, 136096, 143771, 116.26, 1980, 3201, 31, P0
2026/04/23 01:07:24.259, 4, 0, 0, 136096, 143771, 117.71, 1980, 3201, 32, P0
2026/04/23 01:07:24.259, 5, 0, 0, 136096, 143771, 114.67, 1980, 3201, 31, P0
2026/04/23 01:07:24.259, 6, 0, 0, 136096, 143771, 117.59, 1980, 3201, 33, P0
2026/04/23 01:07:24.259, 7, 0, 0, 135424, 143771, 119.52, 1980, 3201, 31, P0
2026/04/23 01:07:25.259, 0, 0, 0, 139701, 143771, 119.32, 1980, 3201, 33, P0
2026/04/23 01:07:25.259, 1, 0, 0, 136096, 143771, 116.04, 1980, 3201, 31, P0
2026/04/23 01:07:25.259, 2, 0, 0, 136096, 143771, 116.07, 1980, 3201, 33, P0
2026/04/23 01:07:25.259, 3, 0, 0, 136096, 143771, 116.24, 1980, 3201, 31, P0
2026/04/23 01:07:25.259, 4, 0, 0, 136096, 143771, 117.73, 1980, 3201, 32, P0
2026/04/23 01:07:25.259, 5, 0, 0, 136096, 143771, 114.66, 1980, 3201, 31, P0
2026/04/23 01:07:25.259, 6, 0, 0, 136096, 143771, 117.49, 1980, 3201, 33, P0
2026/04/23 01:07:25.259, 7, 0, 0, 135424, 143771, 119.59, 1980, 3201, 31, P0
2026/04/23 01:07:26.259, 0, 0, 0, 139701, 143771, 119.32, 1980, 3201, 33, P0
2026/04/23 01:07:26.260, 1, 0, 0, 136096, 143771, 116.00, 1980, 3201, 31, P0
2026/04/23 01:07:26.260, 2, 0, 0, 136096, 143771, 116.05, 1980, 3201, 33, P0
2026/04/23 01:07:26.260, 3, 0, 0, 136096, 143771, 116.22, 1980, 3201, 31, P0
2026/04/23 01:07:26.260, 4, 0, 0, 136096, 143771, 117.71, 1980, 3201, 32, P0
2026/04/23 01:07:26.260, 5, 0, 0, 136096, 143771, 114.68, 1980, 3201, 31, P0
2026/04/23 01:07:26.260, 6, 0, 0, 136096, 143771, 117.70, 1980, 3201, 33, P0
2026/04/23 01:07:26.260, 7, 0, 0, 135424, 143771, 119.60, 1980, 3201, 31, P0
2026/04/23 01:07:27.260, 0, 0, 0, 139701, 143771, 119.32, 1980, 3201, 33, P0
2026/04/23 01:07:27.260, 1, 0, 0, 136096, 143771, 116.02, 1980, 3201, 31, P0
2026/04/23 01:07:27.260, 2, 0, 0, 136096, 143771, 116.06, 1980, 3201, 33, P0
2026/04/23 01:07:27.260, 3, 0, 0, 136096, 143771, 116.25, 1980, 3201, 31, P0
2026/04/23 01:07:27.260, 4, 0, 0, 136096, 143771, 117.72, 1980, 3201, 32, P0
