timestamp,index,util_gpu,util_mem,mem_used_MB,mem_total_MB,power_W,sm_clock_MHz,mem_clock_MHz,temp_C,pstate
2026/04/23 01:07:21.464, 0, 0, 0, 137673, 143771, 116.66, 1980, 3201, 35, P0
2026/04/23 01:07:21.480, 1, 0, 0, 134116, 143771, 110.42, 1980, 3201, 31, P0
2026/04/23 01:07:21.489, 2, 0, 0, 134116, 143771, 111.69, 1980, 3201, 33, P0
2026/04/23 01:07:21.498, 3, 0, 0, 134116, 143771, 113.51, 1980, 3201, 32, P0
2026/04/23 01:07:21.507, 4, 0, 0, 134116, 143771, 118.68, 1980, 3201, 35, P0
2026/04/23 01:07:21.517, 5, 0, 0, 134116, 143771, 113.05, 1980, 3201, 31, P0
2026/04/23 01:07:21.526, 6, 0, 0, 134116, 143771, 116.56, 1980, 3201, 35, P0
2026/04/23 01:07:21.535, 7, 0, 0, 133108, 143771, 112.75, 1980, 3201, 31, P0
2026/04/23 01:07:22.544, 0, 0, 0, 137673, 143771, 116.67, 1980, 3201, 35, P0
2026/04/23 01:07:22.545, 1, 0, 0, 134116, 143771, 110.39, 1980, 3201, 31, P0
2026/04/23 01:07:22.545, 2, 0, 0, 134116, 143771, 111.70, 1980, 3201, 33, P0
2026/04/23 01:07:22.545, 3, 0, 0, 134116, 143771, 113.56, 1980, 3201, 32, P0
2026/04/23 01:07:22.545, 4, 0, 0, 134116, 143771, 118.73, 1980, 3201, 35, P0
2026/04/23 01:07:22.545, 5, 0, 0, 134116, 143771, 113.03, 1980, 3201, 31, P0
2026/04/23 01:07:22.545, 6, 0, 0, 134116, 143771, 116.57, 1980, 3201, 35, P0
2026/04/23 01:07:22.545, 7, 0, 0, 133108, 143771, 112.79, 1980, 3201, 31, P0
2026/04/23 01:07:23.545, 0, 0, 0, 137673, 143771, 116.64, 1980, 3201, 35, P0
2026/04/23 01:07:23.545, 1, 0, 0, 134116, 143771, 110.40, 1980, 3201, 31, P0
2026/04/23 01:07:23.545, 2, 0, 0, 134116, 143771, 111.70, 1980, 3201, 33, P0
2026/04/23 01:07:23.545, 3, 0, 0, 134116, 143771, 113.51, 1980, 3201, 32, P0
2026/04/23 01:07:23.545, 4, 0, 0, 134116, 143771, 118.71, 1980, 3201, 35, P0
2026/04/23 01:07:23.545, 5, 0, 0, 134116, 143771, 113.08, 1980, 3201, 31, P0
2026/04/23 01:07:23.545, 6, 0, 0, 134116, 143771, 116.57, 1980, 3201, 35, P0
2026/04/23 01:07:23.545, 7, 0, 0, 133108, 143771, 112.80, 1980, 3201, 31, P0
2026/04/23 01:07:24.545, 0, 0, 0, 137673, 143771, 116.68, 1980, 3201, 35, P0
2026/04/23 01:07:24.546, 1, 0, 0, 134116, 143771, 110.40, 1980, 3201, 31, P0
2026/04/23 01:07:24.546, 2, 0, 0, 134116, 143771, 111.70, 1980, 3201, 33, P0
2026/04/23 01:07:24.546, 3, 0, 0, 134116, 143771, 113.54, 1980, 3201, 32, P0
2026/04/23 01:07:24.546, 4, 0, 0, 134116, 143771, 118.67, 1980, 3201, 35, P0
2026/04/23 01:07:24.546, 5, 0, 0, 134116, 143771, 113.03, 1980, 3201, 31, P0
2026/04/23 01:07:24.546, 6, 0, 0, 134116, 143771, 116.59, 1980, 3201, 35, P0
2026/04/23 01:07:24.546, 7, 0, 0, 133108, 143771, 112.79, 1980, 3201, 31, P0
2026/04/23 01:07:25.546, 0, 0, 0, 137673, 143771, 116.66, 1980, 3201, 35, P0
2026/04/23 01:07:25.546, 1, 0, 0, 134116, 143771, 110.38, 1980, 3201, 31, P0
2026/04/23 01:07:25.546, 2, 0, 0, 134116, 143771, 111.67, 1980, 3201, 33, P0
2026/04/23 01:07:25.546, 3, 0, 0, 134116, 143771, 113.56, 1980, 3201, 32, P0
2026/04/23 01:07:25.546, 4, 0, 0, 134116, 143771, 118.74, 1980, 3201, 35, P0
2026/04/23 01:07:25.546, 5, 0, 0, 134116, 143771, 112.98, 1980, 3201, 31, P0
2026/04/23 01:07:25.546, 6, 0, 0, 134116, 143771, 116.58, 1980, 3201, 35, P0
2026/04/23 01:07:25.546, 7, 0, 0, 133108, 143771, 112.76, 1980, 3201, 31, P0
2026/04/23 01:07:26.546, 0, 0, 0, 137673, 143771, 125.63, 1980, 3201, 35, P0
2026/04/23 01:07:26.546, 1, 0, 0, 134116, 143771, 119.28, 1980, 3201, 31, P0
2026/04/23 01:07:26.547, 2, 0, 0, 134116, 143771, 120.39, 1980, 3201, 33, P0
2026/04/23 01:07:26.547, 3, 0, 0, 134116, 143771, 122.38, 1980, 3201, 32, P0
2026/04/23 01:07:26.547, 4, 0, 0, 134116, 143771, 127.45, 1980, 3201, 35, P0
2026/04/23 01:07:26.547, 5, 0, 0, 134116, 143771, 121.67, 1980, 3201, 31, P0
2026/04/23 01:07:26.547, 6, 0, 0, 134116, 143771, 125.88, 1980, 3201, 35, P0
2026/04/23 01:07:26.547, 7, 0, 0, 133108, 143771, 121.56, 1980, 3201, 31, P0
2026/04/23 01:07:27.547, 0, 0, 0, 137673, 143771, 116.77, 1980, 3201, 35, P0
2026/04/23 01:07:27.547, 1, 0, 0, 134116, 143771, 110.53, 1980, 3201, 31, P0
2026/04/23 01:07:27.547, 2, 0, 0, 134116, 143771, 111.76, 1980, 3201, 33, P0
2026/04/23 01:07:27.547, 3, 0, 0, 134116, 143771, 113.65, 1980, 3201, 32, P0
2026/04/23 01:07:27.547, 4, 0, 0, 134116, 143771, 118.83, 1980, 3201, 35, P0
2026/04/23 01:07:27.547, 5, 0, 0, 134116, 143771, 113.18, 1980, 3201, 31, P0
2026/04/23 01:07:27.547, 6, 0, 0, 134116, 143771, 116.69, 1980, 3201, 35, P0
2026/04/23 01:07:27.547, 7, 0, 0, 133108, 143771, 112.94, 1980, 3201, 31, P0
2026/04/23 01:07:28.547, 0, 0, 0, 137673, 143771, 116.74, 1980, 3201, 35, P0
2026/04/23 01:07:28.547, 1, 0, 0, 134116, 143771, 110.49, 1980, 3201, 31, P0
2026/04/23 01:07:28.547, 2, 0, 0, 134116, 143771, 111.74, 1980, 3201, 33, P0
2026/04/23 01:07:28.547, 3, 0, 0, 134116, 143771, 113.66, 1980, 3201, 32, P0
2026/04/23 01:07:28.548, 4, 0, 0, 134116, 143771, 118.83, 1980, 3201, 35, P0
2026/04/23 01:07:28.548, 5, 0, 0, 134116, 143771, 113.09, 1980, 3201, 31, P0
2026/04/23 01:07:28.548, 6, 0, 0, 134116, 143771, 116.68, 1980, 3201, 35, P0
2026/04/23 01:07:28.548, 7, 0, 0, 133108, 143771, 112.85, 1980, 3201, 31, P0
2026/04/23 01:07:29.548, 0, 0, 0, 137673, 143771, 116.71, 1980, 3201, 35, P0
2026/04/23 01:07:29.548, 1, 0, 0, 134116, 143771, 110.44, 1980, 3201, 31, P0
2026/04/23 01:07:29.548, 2, 0, 0, 134116, 143771, 111.75, 1980, 3201, 33, P0
2026/04/23 01:07:29.548, 3, 0, 0, 134116, 143771, 113.57, 1980, 3201, 32, P0
2026/04/23 01:07:29.548, 4, 0, 0, 134116, 143771, 118.76, 1980, 3201, 35, P0
2026/04/23 01:07:29.548, 5, 0, 0, 134116, 143771, 113.11, 1980, 3201, 31, P0
2026/04/23 01:07:29.548, 6, 0, 0, 134116, 143771, 116.66, 1980, 3201, 35, P0
2026/04/23 01:07:29.548, 7, 0, 0, 133108, 143771, 112.83, 1980, 3201, 31, P0
2026/04/23 01:07:30.548, 0, 0, 0, 137673, 143771, 116.70, 1980, 3201, 35, P0
2026/04/23 01:07:30.548, 1, 0, 0, 134116, 143771, 110.43, 1980, 3201, 31, P0
2026/04/23 01:07:30.548, 2, 0, 0, 134116, 143771, 111.71, 1980, 3201, 33, P0
2026/04/23 01:07:30.548, 3, 0, 0, 134116, 143771, 113.62, 1980, 3201, 32, P0
2026/04/23 01:07:30.548, 4, 0, 0, 134116, 143771, 118.77, 1980, 3201, 35, P0
2026/04/23 01:07:30.548, 5, 0, 0, 134116, 143771, 113.12, 1980, 3201, 31, P0
2026/04/23 01:07:30.549, 6, 0, 0, 134116, 143771, 116.64, 1980, 3201, 35, P0
2026/04/23 01:07:30.549, 7, 0, 0, 133108, 143771, 112.89, 1980, 3201, 31, P0
2026/04/23 01:07:31.549, 0, 0, 0, 137673, 143771, 116.70, 1980, 3201, 35, P0
2026/04/23 01:07:31.549, 1, 0, 0, 134116, 143771, 110.44, 1980, 3201, 31, P0
2026/04/23 01:07:31.549, 2, 0, 0, 134116, 143771, 111.70, 1980, 3201, 33, P0
2026/04/23 01:07:31.549, 3, 0, 0, 134116, 143771, 113.63, 1980, 3201, 32, P0
2026/04/23 01:07:31.549, 4, 0, 0, 134116, 143771, 118.75, 1980, 3201, 35, P0
2026/04/23 01:07:31.549, 5, 0, 0, 134116, 143771, 112.71, 1980, 3201, 31, P0
2026/04/23 01:07:31.549, 6, 0, 0, 134116, 143771, 116.61, 1980, 3201, 35, P0
2026/04/23 01:07:31.549, 7, 0, 0, 133108, 143771, 112.84, 1980, 3201, 31, P0
2026/04/23 01:07:32.549, 0, 0, 0, 137673, 143771, 116.67, 1980, 3201, 35, P0
2026/04/23 01:07:32.549, 1, 0, 0, 134116, 143771, 110.43, 1980, 3201, 31, P0
2026/04/23 01:07:32.549, 2, 0, 0, 134116, 143771, 111.72, 1980, 3201, 33, P0
2026/04/23 01:07:32.549, 3, 0, 0, 134116, 143771, 113.61, 1980, 3201, 32, P0
